feature,importance
domain_b_seq_72_mean,7
item_int_feats_10,5
item_int_feats_5,5
item_int_feats_13,4
domain_c_seq_33_mean,4
item_int_feats_16,4
domain_a_seq_45_mean,4
domain_c_seq_32_mean,4
user_int_feats_15_mean,3
domain_c_seq_36_max,3
user_dense_feats_61_mean,3
domain_d_seq_18_mean,3
domain_c_seq_27_len,3
domain_a_seq_39_mean,3
user_int_feats_63_mean,3
domain_c_seq_29_max,3
domain_b_seq_79_max,2
user_int_feats_48,2
item_int_feats_8,2
domain_d_seq_23_max,2
domain_d_seq_26_max,2
domain_b_seq_74_max,2
user_dense_feats_65_mean,2
domain_c_seq_27_max,2
domain_d_seq_20_mean,2
domain_b_seq_76_mean,2
domain_d_seq_26_mean,2
domain_b_seq_88_mean,2
user_int_feats_64_mean,2
user_int_feats_4,2
domain_a_seq_44_mean,2
user_int_feats_56,2
user_int_feats_3,2
user_int_feats_80_mean,1
user_int_feats_65_mean,1
domain_c_seq_28_len,1
domain_a_seq_39_max,1
domain_a_seq_42_mean,1
domain_a_seq_43_max,1
user_dense_feats_62_mean,1
domain_b_seq_75_max,1
domain_c_seq_28_mean,1
domain_a_seq_46_mean,1
user_dense_feats_87_mean,1
user_dense_feats_91_mean,1
domain_c_seq_34_max,1
domain_a_seq_38_len,1
domain_c_seq_34_mean,1
domain_c_seq_29_len,1
user_dense_feats_89_mean,1
user_int_feats_1,1
domain_c_seq_30_mean,1
user_int_feats_106,1
domain_d_seq_22_mean,1
user_int_feats_96,1
domain_d_seq_24_mean,1
domain_c_seq_47_mean,1
domain_b_seq_73_max,1
domain_b_seq_70_mean,1
domain_d_seq_25_mean,1
domain_d_seq_19_mean,1
item_int_feats_6,1
domain_d_seq_17_max,1
item_int_feats_12,1
domain_b_seq_74_mean,1
domain_d_seq_17_mean,1
user_int_feats_52,1
domain_c_seq_47_max,1
domain_d_seq_22_max,1
domain_c_seq_30_len,0
domain_b_seq_77_mean,0
domain_b_seq_76_max,0
domain_c_seq_29_mean,0
domain_b_seq_77_len,0
domain_b_seq_88_max,0
domain_b_seq_77_max,0
domain_b_seq_78_len,0
domain_c_seq_28_max,0
domain_b_seq_78_max,0
domain_b_seq_79_len,0
domain_b_seq_79_mean,0
domain_b_seq_88_len,0
domain_c_seq_30_max,0
domain_c_seq_27_mean,0
domain_b_seq_78_mean,0
domain_c_seq_36_len,0
domain_c_seq_31_len,0
domain_c_seq_31_mean,0
domain_d_seq_19_max,0
domain_d_seq_20_len,0
domain_d_seq_20_max,0
domain_d_seq_21_len,0
domain_d_seq_21_mean,0
domain_d_seq_21_max,0
domain_d_seq_22_len,0
domain_d_seq_23_len,0
domain_d_seq_23_mean,0
domain_d_seq_24_len,0
domain_d_seq_24_max,0
domain_d_seq_25_len,0
domain_d_seq_25_max,0
domain_d_seq_26_len,0
label_time_hour,0
domain_d_seq_19_len,0
domain_d_seq_18_max,0
domain_d_seq_18_len,0
domain_c_seq_35_len,0
domain_c_seq_31_max,0
domain_c_seq_32_len,0
domain_c_seq_32_max,0
domain_c_seq_33_len,0
domain_c_seq_33_max,0
domain_c_seq_34_len,0
domain_c_seq_35_mean,0
domain_d_seq_17_len,0
domain_c_seq_35_max,0
domain_c_seq_36_mean,0
domain_c_seq_37_len,0
domain_c_seq_37_mean,0
domain_c_seq_37_max,0
domain_c_seq_47_len,0
domain_b_seq_76_len,0
domain_b_seq_69_len,0
domain_b_seq_75_mean,0
item_int_feats_81,0
user_int_feats_103,0
user_int_feats_104,0
user_int_feats_105,0
user_int_feats_107,0
user_int_feats_108,0
user_int_feats_109,0
item_int_feats_7,0
item_int_feats_9,0
item_int_feats_83,0
domain_b_seq_75_len,0
item_int_feats_84,0
item_int_feats_85,0
user_int_feats_60_mean,0
user_int_feats_62_mean,0
user_int_feats_66_mean,0
user_int_feats_89_mean,0
user_int_feats_90_mean,0
user_int_feats_91_mean,0
user_int_feats_102,0
user_int_feats_101,0
user_int_feats_100,0
user_int_feats_99,0
user_int_feats_49,0
user_int_feats_50,0
user_int_feats_51,0
user_int_feats_53,0
user_int_feats_54,0
user_int_feats_55,0
user_int_feats_57,0
user_int_feats_58,0
user_int_feats_59,0
user_int_feats_82,0
user_int_feats_86,0
user_int_feats_92,0
user_int_feats_93,0
user_int_feats_94,0
user_int_feats_95,0
user_int_feats_97,0
user_int_feats_98,0
user_dense_feats_63_mean,0
user_dense_feats_64_mean,0
user_dense_feats_66_mean,0
domain_a_seq_46_max,0
domain_b_seq_67_mean,0
domain_b_seq_67_max,0
domain_b_seq_68_len,0
domain_b_seq_68_mean,0
domain_b_seq_68_max,0
domain_b_seq_69_mean,0
domain_b_seq_69_max,0
domain_b_seq_70_len,0
domain_b_seq_70_max,0
domain_b_seq_71_len,0
domain_b_seq_71_mean,0
domain_b_seq_71_max,0
domain_b_seq_72_len,0
domain_b_seq_72_max,0
domain_b_seq_73_len,0
domain_b_seq_73_mean,0
domain_b_seq_74_len,0
domain_b_seq_67_len,0
domain_a_seq_46_len,0
user_dense_feats_90_mean,0
domain_a_seq_45_max,0
item_int_feats_11_mean,0
domain_a_seq_38_mean,0
domain_a_seq_38_max,0
domain_a_seq_39_len,0
domain_a_seq_40_len,0
domain_a_seq_40_mean,0
domain_a_seq_40_max,0
domain_a_seq_41_len,0
domain_a_seq_41_mean,0
domain_a_seq_41_max,0
domain_a_seq_42_len,0
domain_a_seq_42_max,0
domain_a_seq_43_len,0
domain_a_seq_43_mean,0
domain_a_seq_44_len,0
domain_a_seq_44_max,0
domain_a_seq_45_len,0
label_time_dayofweek,0
